activity_count_paste,action_time_sum,action_time_mean,word_count_max,text_change_count_tiny_text_changes,cursor_position_mean,distance_of_moved_selection_mean,distance_of_moved_selection_max,size_of_moved_selection_mean,size_of_moved_selection_max,up_time_fraction_of_time_spent_writing,action_time_mean_Input,action_time_mean_Move From,action_time_mean_Nonproduction,action_time_mean_Paste,action_time_mean_Remove/Cut,action_time_mean_Replace,action_time_max_Input,action_time_max_Move From,action_time_max_Nonproduction,action_time_max_Paste,action_time_max_Remove/Cut,action_time_max_Replace,action_time_sum_Input,action_time_sum_Move From,action_time_sum_Nonproduction,action_time_sum_Paste,action_time_sum_Remove/Cut,action_time_sum_Replace,action_time_count_Input,action_time_count_Move From,action_time_count_Nonproduction,action_time_count_Paste,action_time_count_Remove/Cut,action_time_count_Replace,Peak Frequency,Mean Frequency,Median Frequency,Bandwidth,Frequency Skewness,Frequency Kurtosis,Total Energy,Spectral Entropy,Spectral Flatness,Spectral Roll-off,Mean Amplitude,Std Amplitude,Skew Amplitude,Kurtosis Amplitude
0,430511,94.30690032858708,574,4476,1580.4486308871851,0.0,0,0.0,0,0.9717283333333333,96.8976178408515,0.0,39.54022988505747,0.0,83.70754716981132,174.0,252.0,0.0,938.0,0.0,620.0,209.0,382358.0,0.0,3440.0,0.0,44365.0,348.0,3946.0,0.0,87.0,0.0,530.0,2.0,0.030236634531113058,0.15778133249665932,0.25,0.4995617879053462,4.477288493198773,29.61253950487685,794208792.318216,10.522538783902855,0.6603554530050615,0.3382997370727432,374.8831038763876,455.68315258663205,4.477288493198773,29.61253950487685
0,316876,131.15728476821192,252,2017,732.5620860927153,0.0,0,0.0,0,1.01878,150.78258426966292,0.0,39.969849246231156,0.0,136.79324894514767,155.0,930.0,0.0,508.0,0.0,319.0,155.0,268393.0,0.0,15908.0,0.0,32420.0,155.0,1780.0,0.0,398.0,0.0,237.0,1.0,0.02774327122153209,0.15074261299306949,0.25010351966873706,0.4993788819875776,3.913239290098935,20.102112610413258,243184205.99999997,9.562639737222367,0.6453719342573649,0.34120082815734987,280.1702470308396,350.6891046051844,3.913239290098935,20.102112610413258
0,306724,82.43052942757323,573,3244,1505.1233539371137,0.0,0,0.0,0,0.9855355555555556,94.35480829666876,0.0,5.111111111111111,0.0,65.30645161290323,0.0,259.0,0.0,180.0,0.0,138.0,0.0,300237.0,0.0,2438.0,0.0,4049.0,0.0,3182.0,0.0,477.0,0.0,62.0,0.0,0.032526881720430105,0.15530802580565364,0.25,0.4994623655913979,6.220582925525853,55.81745315840265,519701696.54478556,10.01320350491891,0.5935877233543614,0.33548387096774196,283.70933601098,446.171298838841,6.220582925525853,55.81745315840265
2,301886,111.76823398741207,244,2559,594.367641614217,0.0,0,0.0,0,0.8810138888888889,86.5391818629867,0.0,550.0955882352941,328.0,95.18539325842697,0.0,269.0,0.0,23724.0,337.0,504.0,0.0,175588.0,0.0,74813.0,656.0,50829.0,0.0,2029.0,0.0,136.0,2.0,534.0,0.0,0.03407407407407407,0.15460918532887757,0.25,0.49925925925925924,3.694646786074164,19.858239485759512,256359875.92061794,9.778969138531519,0.665595090628801,0.33629629629629626,284.5296858985542,330.27235784409925,3.694646786074164,19.858239485759512
0,184187,87.00377893245158,234,1798,796.7543693906472,0.0,0,0.0,0,1.01732,88.0094674556213,0.0,83.96865203761756,0.0,80.23148148148148,0.0,586.0,0.0,510.0,0.0,481.0,0.0,148736.0,0.0,26786.0,0.0,8665.0,0.0,1690.0,0.0,319.0,0.0,108.0,0.0,0.031190926275992438,0.1663966490709294,0.25,0.499054820415879,4.944682795492399,34.63239066963544,167919739.96382186,9.449463789791842,0.6894479608438733,0.3506616257088847,253.87408381521257,307.2660329438739,4.944682795492399,34.63239066963544
1,486158,124.05154376116356,449,3816,1063.8244450114826,0.0,0,0.0,0,1.0188155555555556,129.3675889328063,0.0,269.7111111111111,123.0,67.14177693761815,75.3,297.0,0.0,4162.0,123.0,510.0,157.0,425490.0,0.0,24274.0,123.0,35518.0,753.0,3289.0,0.0,90.0,1.0,529.0,10.0,0.026544155181214907,0.15489560216746578,0.2501276161306789,0.49948953547728436,3.58472494097566,16.67376745119378,561736015.8225827,10.276361235984833,0.644497978725129,0.33767228177641656,341.78765168139984,412.4002387739885,3.58472494097566,16.67376745119378
0,305997,96.49858088930937,421,3102,1237.326710816777,0.0,0,0.0,0,0.9747444444444444,94.3556882022472,0.0,244.47457627118644,0.0,86.65891472868218,81.66666666666667,280.0,0.0,2395.0,0.0,504.0,132.0,268725.0,0.0,14424.0,0.0,22358.0,490.0,2848.0,0.0,59.0,0.0,258.0,6.0,0.031230283911671926,0.161756324206912,0.2501577287066246,0.4993690851735016,4.589799370268141,33.17401680357796,380297133.7950718,10.034415781229853,0.6775740998136255,0.34763406940063096,318.7854012538585,372.10541827954086,4.589799370268141,33.17401680357796
1,468111,135.84184561810795,286,3321,861.6183981427743,0.0,0,0.0,0,0.9900672222222222,146.62765957446808,0.0,211.90833333333333,0.0,95.49202733485194,160.66666666666666,3018.0,0.0,4448.0,0.0,713.0,262.0,358358.0,0.0,25429.0,0.0,83842.0,482.0,2444.0,0.0,120.0,1.0,878.0,3.0,0.031349782293178516,0.15777171131924014,0.25021770682148037,0.49956458635703915,3.4857556970489583,18.693192897602508,456686827.9999999,10.166355372077845,0.6709577036317901,0.3399129172714078,346.1683091984188,381.2803678345145,3.4857556970489583,18.693192897602508
0,300153,96.01823416506718,406,3043,892.8557261676264,0.0,0,0.0,0,0.9766577777777777,96.16560984707199,0.0,68.0375,0.0,101.11813186813187,83.0,279.0,0.0,1530.0,0.0,503.0,83.0,257820.0,0.0,5443.0,0.0,36807.0,83.0,2681.0,0.0,80.0,0.0,364.0,1.0,0.030400000000000003,0.15742226552527527,0.25024,0.4995200000000001,3.9631573434406437,21.939312783314598,370276540.0000001,9.98985256769695,0.6639284228251134,0.34304,314.92104156408027,371.31870420138813,3.9631573434406437,21.939312783314598
0,189082,98.37773152965661,299,1876,805.3896982310093,0.0,0,0.0,0,0.9229144444444445,100.22127417519908,0.0,70.1304347826087,0.0,81.92372881355932,0.0,219.0,0.0,213.0,0.0,127.0,0.0,176189.0,0.0,3226.0,0.0,9667.0,0.0,1758.0,0.0,46.0,0.0,118.0,0.0,0.03019260801665799,0.15962523208382848,0.25039042165538783,0.49921915668922434,5.443716612221943,45.04749741179411,139501440.0,9.223955207375592,0.6427769319121409,0.34096824570536177,230.87456114426746,303.33304636396264,5.443716612221943,45.04749741179411
0,473252,94.34848484848484,414,4886,1135.8664274322168,0.0,0,0.0,0,0.9982788888888889,101.1478374836173,0.0,147.19166666666666,0.0,64.27813953488372,101.83333333333333,303.0,0.0,1675.0,0.0,515.0,134.0,385879.0,0.0,17663.0,0.0,69099.0,611.0,3815.0,0.0,120.0,0.0,1075.0,6.0,0.028713858424725822,0.15565659207732746,0.250049850448654,0.49970089730807576,3.2181779955808882,14.383921608394907,938047718.0000001,10.697040087639087,0.6648212777515189,0.34297108673978066,409.9190254096516,454.0240080291728,3.2181779955808882,14.383921608394907
0,480192,86.89685124864278,636,4512,1581.0975389069852,0.0,0,0.0,0,0.9962272222222223,105.4017094017094,0.0,15.650840751730959,0.0,77.54306220095694,168.0,263.0,0.0,1973.0,0.0,501.0,171.0,431620.0,0.0,15823.0,0.0,32413.0,336.0,4095.0,0.0,1011.0,0.0,418.0,2.0,0.0009049773755656109,0.1454723379301012,0.25013574660633486,0.4997285067873303,4.538262961313964,28.793190735132512,1246049149.9999998,10.660481945293244,0.6129953986076748,0.3308597285067873,392.103392566172,545.3394353103803,4.538262961313964,28.793190735132512
0,508095,135.2755591054313,537,3686,1281.0303514376997,0.0,0,0.0,0,1.000013888888889,138.0643153526971,0.0,293.859375,0.0,72.375,146.33333333333334,338.0,0.0,4442.0,0.0,504.0,198.0,465829.0,0.0,18807.0,0.0,22581.0,878.0,3374.0,0.0,64.0,0.0,312.0,6.0,0.03195739014647137,0.15889454097683042,0.25006657789613845,0.49960053262316906,6.285323096267682,64.86416182097236,520484464.0,10.225035502469215,0.6580820455418989,0.34087882822902793,321.7755896855993,416.8409788978986,6.285323096267682,64.86416182097236
0,370964,126.43626448534424,430,2779,1208.3824130879345,0.0,0,0.0,0,0.9941055555555556,132.4299841772152,0.0,92.03225806451613,0.0,87.31474103585657,0.0,304.0,0.0,582.0,0.0,491.0,0.0,334783.0,0.0,14265.0,0.0,21916.0,0.0,2528.0,0.0,155.0,0.0,251.0,0.0,0.030344357313331058,0.1626136507638123,0.25025571087623594,0.4994885782475281,5.21734780942482,44.38684949301504,307831318.0,9.909357626291628,0.6751708885754345,0.3525400613706103,292.07847923204497,353.0872373328057,5.21734780942482,44.38684949301504
0,36073,22.009151921903598,229,1633,690.4075655887737,0.0,0,0.0,0,0.7427605555555555,20.215131578947368,0.0,147.0,0.0,39.50442477876106,0.0,1551.0,0.0,219.0,0.0,252.0,0.0,30727.0,0.0,882.0,0.0,4464.0,0.0,1520.0,0.0,6.0,0.0,113.0,0.0,0.029914529914529916,0.15932201017911646,0.2503052503052503,0.4987789987789988,5.765835201765028,50.13662039188281,100346214.35197824,9.011629335885988,0.6571510310766813,0.34065934065934067,212.32272245507897,278.552858917995,5.765835201765028,50.13662039188281
0,519545,145.40862020710887,487,3500,1350.657990484187,0.0,0,0.0,0,1.053453888888889,155.91597708465946,0.0,22.589041095890412,0.0,78.23463687150839,0.0,347.0,0.0,148.0,0.0,501.0,0.0,489888.0,0.0,1649.0,0.0,28008.0,0.0,3142.0,0.0,73.0,0.0,358.0,0.0,0.03163493840985442,0.1605150812331464,0.25,0.4994400895856663,4.7033972788360385,33.724168441348496,479504699.20276695,10.146964056664464,0.6491617379522897,0.3519036954087346,324.0704257666923,404.4854048422255,4.7033972788360385,33.724168441348496
0,496441,92.03578049684835,500,3567,1600.8913607712273,0.0,0,0.0,0,1.0004388888888889,126.22466960352423,0.0,33.431544359255206,0.0,87.80976863753213,95.0,248.0,0.0,1051.0,0.0,491.0,95.0,401142.0,0.0,61046.0,0.0,34158.0,95.0,3178.0,0.0,1826.0,0.0,389.0,1.0,0.03374745039866494,0.15864731011446298,0.2501390691637308,0.4997218616725385,4.570660143326319,30.18331871082465,1092885964.0,10.698470913299644,0.6363015424137418,0.34507695160393104,388.47066106784985,504.4439290317463,4.570660143326319,30.18331871082465
0,349819,78.75258892390815,447,3942,1277.011256190905,0.0,0,0.0,0,0.9984161111111111,88.88855054811206,0.0,21.36673346693387,0.0,71.69499241274659,0.0,340.0,0.0,2036.0,0.0,493.0,0.0,291910.0,0.0,10662.0,0.0,47247.0,0.0,3284.0,0.0,499.0,0.0,659.0,0.0,0.023868498086016664,0.1508011660490073,0.2501688808826841,0.49966223823463185,4.067293382217646,28.726838734269915,721055679.9999999,10.47538310319655,0.650003757381602,0.3325827516325152,367.5457637834053,435.5570770642224,4.067293382217646,28.726838734269915
0,393736,90.76440756108806,712,4142,1875.8999538958046,0.0,0,0.0,0,0.9954211111111111,88.96679151061174,0.0,134.06666666666666,0.0,81.94890510948905,54.0,232.0,0.0,2500.0,0.0,490.0,54.0,356312.0,0.0,26143.0,0.0,11227.0,54.0,4005.0,0.0,195.0,0.0,137.0,1.0,0.03251095227115518,0.16791285390996635,0.250172930597187,0.49965413880562604,6.62025826252519,72.04266839318764,711761804.0,10.428538074757432,0.6706837847295944,0.3532395665206364,342.8609785993542,459.07490073303336,6.62025826252519,72.04266839318764
0,113818,60.31690514043455,205,1826,758.2681505034446,0.0,0,0.0,0,0.9861516666666666,60.497199751088985,0.0,63.49180327868852,0.0,58.10958904109589,0.0,254.0,0.0,486.0,0.0,122.0,0.0,97219.0,0.0,3873.0,0.0,12726.0,0.0,1607.0,0.0,61.0,0.0,219.0,0.0,0.03181336161187699,0.15235734491211006,0.25026511134676566,0.4989395546129375,4.934690749092938,41.357415611967895,140780618.1377204,9.19213729830139,0.6309247039806555,0.3345705196182397,239.02547401624452,303.8345964226705,4.934690749092938,41.357415611967895
0,409673,155.8877473363775,269,2504,852.447108066971,0.0,0,0.0,0,1.0327605555555555,158.9928229665072,0.0,325.58677685950414,0.0,90.33091787439614,195.0,416.0,0.0,27388.0,0.0,510.0,232.0,332295.0,0.0,39396.0,0.0,37397.0,585.0,2090.0,0.0,121.0,0.0,414.0,3.0,0.02893033878949372,0.1542198504075824,0.25009516558812334,0.49942900647126,3.710151726911117,21.459524329234476,255967084.99999994,9.713559360240174,0.64627457631492,0.33917015607156453,285.02210083300764,337.21013771774074,3.710151726911117,21.459524329234476
0,266457,129.9790243902439,282,2005,752.0180487804878,0.0,0,0.0,0,0.7558272222222222,133.76673984632274,0.0,91.74418604651163,0.0,101.18579234972678,136.0,252.0,0.0,1738.0,0.0,264.0,140.0,243723.0,0.0,3945.0,0.0,18517.0,272.0,1822.0,0.0,43.0,0.0,183.0,2.0,0.030258662762323085,0.1532339998968114,0.25036603221083453,0.49926793557833093,4.444582551907197,30.190330973047736,150816037.99999997,9.333335996213897,0.6442909199445683,0.335285505124451,240.47518403901267,299.0868986946402,4.444582551907197,30.190330973047736
1,391210,107.89023717595146,284,2921,816.8312189740761,0.0,0,0.0,0,0.9835766666666667,124.18211784095591,0.0,72.03757225433526,168.0,77.9578313253012,122.375,402.0,0.0,6342.0,168.0,516.0,170.0,301390.0,0.0,49850.0,168.0,38823.0,979.0,2427.0,0.0,692.0,1.0,498.0,8.0,0.03006896551724138,0.16081043999025216,0.2502068965517241,0.49958620689655175,3.1489487813829062,13.034852020840887,466215374.0,10.260878269144872,0.6826819486422674,0.3470344827586207,345.73323137479036,371.16274797254044,3.1489487813829062,13.034852020840887
1,452839,83.28839433511128,490,4840,1123.574213720802,0.0,0,0.0,0,1.0189544444444445,89.71507676818526,0.0,55.08798646362098,108.0,73.0379746835443,88.66666666666667,238.0,0.0,1498.0,108.0,515.0,92.0,356438.0,0.0,32557.0,108.0,63470.0,266.0,3973.0,0.0,591.0,1.0,869.0,3.0,0.025754231052244298,0.15504765374313223,0.25,0.4996320824135394,3.6524429256163167,19.382384760401187,1071500209.7059596,10.78598081684927,0.6635780940909548,0.34492273730684325,409.1936448934853,476.3711024687821,3.6524429256163167,19.382384760401187
0,348823,128.57464061924068,337,2614,852.7891632878732,0.0,0,0.0,0,0.9606811111111111,133.56566970091026,0.0,160.93617021276594,0.0,80.95114006514657,141.4,272.0,0.0,2274.0,0.0,511.0,187.0,308136.0,0.0,15128.0,0.0,24852.0,707.0,2307.0,0.0,94.0,0.0,307.0,5.0,0.028023598820058997,0.15593554728554349,0.25,0.49926253687315636,4.195323833091192,24.347649552339334,279650878.65275085,9.746623133897813,0.648820637493173,0.33702064896755163,286.18952402648574,352.81718867899076,4.195323833091192,24.347649552339334
0,361805,101.48807854137448,562,3509,1719.3834502103787,0.0,0,0.0,0,0.9998566666666666,101.85853939045428,0.0,86.73214285714286,0.0,86.58064516129032,0.0,253.0,0.0,229.0,0.0,129.0,0.0,354264.0,0.0,4857.0,0.0,2684.0,0.0,3478.0,0.0,56.0,0.0,31.0,0.0,0.032547699214365886,0.17386607800602036,0.25,0.4994388327721661,10.703419107973714,183.15215545536478,476785986.81686974,9.941568901793346,0.6057087173928822,0.3608305274971942,253.9616981798734,450.78859201177005,10.703419107973714,183.15215545536478
0,385356,115.47977225052442,407,3030,1028.2774947557687,0.0,0,0.0,0,1.0027216666666667,123.12923188933382,0.0,71.4949494949495,0.0,87.06315789473685,134.125,389.0,0.0,1937.0,0.0,494.0,215.0,338236.0,0.0,21234.0,0.0,24813.0,1073.0,2747.0,0.0,297.0,0.0,285.0,8.0,0.03147482014388489,0.1574976396624705,0.24999999999999997,0.4994004796163069,4.528823407037979,30.583492667076584,424096087.477255,10.0603428102316,0.654124122428744,0.33992805755395683,318.90882383107646,390.77350628568206,4.528823407037979,30.583492667076584
0,618442,86.06206512663512,641,6372,1389.6013080990815,0.0,0,0.0,0,0.9945266666666667,101.6895238095238,0.0,24.463054187192117,0.0,57.52092609082814,112.0,808.0,0.0,1700.0,0.0,501.0,112.0,533870.0,0.0,19864.0,0.0,64596.0,112.0,5250.0,0.0,812.0,0.0,1123.0,1.0,0.027279053583855257,0.15231999666927806,0.2501043841336117,0.4997912317327767,4.216493420606501,27.16407213617152,1937781273.9999998,11.138218233378659,0.6426598833650173,0.33583855254001393,460.35231042835113,572.3173522888682,4.216493420606501,27.16407213617152
0,339745,86.78033205619413,471,3741,1337.1466155810983,0.0,0,0.0,0,0.9277627777777778,93.6467492260062,0.0,6.959537572254336,0.0,70.40313111545989,86.0,220.0,0.0,180.0,0.0,494.0,86.0,302479.0,0.0,1204.0,0.0,35976.0,86.0,3230.0,0.0,173.0,0.0,511.0,1.0,0.03168114460909556,0.15372144104295016,0.25012774655084313,0.4994890137966275,4.515021163580468,31.57986127194281,571875904.5518411,10.27905307660227,0.6568410191095102,0.3369954011241697,339.6314740762271,420.7381087665652,4.515021163580468,31.57986127194281
1,432711,72.83470796162263,327,2284,850.0462885036189,0.0,0,0.0,0,1.001975,77.000471475719,0.0,69.53761969904241,127.0,92.10975609756098,0.0,240.0,0.0,2358.0,127.0,513.0,0.0,163318.0,0.0,254160.0,127.0,15106.0,0.0,2121.0,0.0,3655.0,1.0,164.0,0.0,0.0297979797979798,0.176607595294241,0.25,0.4996632996632997,3.3138081931492622,17.288575625308123,1474807615.7087083,11.067808768246255,0.7182552165343474,0.362962962962963,509.94851117609903,486.50589690899085,3.3138081931492622,17.288575625308123
0,584386,101.40308866909595,530,5621,1284.0239458615304,0.0,0,0.0,0,0.9728944444444444,118.14882325796032,0.0,45.94285714285714,0.0,51.12257564003103,0.0,357.0,0.0,1847.0,0.0,515.0,0.0,512057.0,0.0,6432.0,0.0,65897.0,0.0,4334.0,0.0,140.0,0.0,1289.0,0.0,0.031586254772648384,0.15618008348737375,0.2500867754251996,0.4996528982992017,4.632513995236316,33.4234499467297,1212035200.310048,10.826071460169846,0.647618357851849,0.33651509892398473,403.9709012767811,507.59537683556215,4.632513995236316,33.4234499467297
0,259895,112.1687526974536,271,2264,620.0025895554596,0.0,0,0.0,0,0.4060755555555556,120.46614173228346,0.0,0.2830188679245283,0.0,84.65738161559888,0.0,295.0,0.0,3.0,0.0,501.0,0.0,229488.0,0.0,15.0,0.0,30392.0,0.0,1905.0,0.0,53.0,0.0,359.0,0.0,0.029792746113989636,0.1519686676799783,0.25,0.49913644214162345,4.325711058601971,26.946875560201605,203692734.98827055,9.516375717013123,0.6430353539984848,0.32599309153713296,264.40749484890847,325.7931401599869,4.325711058601971,26.946875560201605
1,360784,111.97517070142769,396,3061,824.9695841092489,0.0,0,0.0,0,0.991665,113.08582762351244,0.0,145.61935483870968,65.0,83.39655172413794,125.33333333333333,308.0,0.0,1847.0,65.0,510.0,150.0,313587.0,0.0,22571.0,65.0,24185.0,376.0,2773.0,0.0,155.0,1.0,290.0,3.0,0.02887302080099348,0.157200680298533,0.2502328469419435,0.499534306116113,4.237760298435812,29.82226627334567,387656785.99999994,10.039377193058307,0.6651294118556601,0.3371623719341819,318.7618602750953,373.0569512236984,4.237760298435812,29.82226627334567
0,105600,62.227460223924574,214,1477,629.4166175604007,0.0,0,0.0,0,1.0906477777777779,67.75650950035187,0.0,25.35981308411215,0.0,62.622950819672134,71.0,153.0,0.0,124.0,0.0,85.0,71.0,96282.0,0.0,5427.0,0.0,3820.0,71.0,1421.0,0.0,214.0,0.0,61.0,1.0,0.0294811320754717,0.16018841182094648,0.25,0.4988207547169811,4.678464778362745,33.04830840003594,109089002.38736956,9.113121224777974,0.6713444672150602,0.3461084905660377,229.57389185110128,275.84488406757396,4.678464778362745,33.04830840003594
1,462577,77.43170405088718,531,5704,1435.0836960160696,0.0,0,0.0,0,0.9545305555555555,79.46529120997207,0.0,104.28629032258064,213.0,61.89687795648061,88.26666666666667,207.0,0.0,1357.0,213.0,504.0,111.0,369752.0,0.0,25863.0,213.0,65425.0,1324.0,4653.0,0.0,248.0,1.0,1057.0,15.0,0.024275908253808806,0.15754732777618422,0.2501255650426921,0.4997488699146157,3.126540222515217,13.794468879401041,1348324527.9999995,10.963602214809947,0.6693811839710995,0.3437133768625481,455.45642511666864,494.0730528894945,3.126540222515217,13.794468879401041
0,85232,65.06259541984733,213,1297,558.8526717557252,0.0,0,0.0,0,0.6061916666666667,64.50245499181669,0.0,90.84615384615384,0.0,69.72,0.0,184.0,0.0,409.0,0.0,236.0,0.0,78822.0,0.0,1181.0,0.0,5229.0,0.0,1222.0,0.0,13.0,0.0,75.0,0.0,0.029029793735676088,0.1619550770788903,0.2505729564553094,0.4988540870893812,5.500935794865973,43.697368253176386,65935195.99999999,8.704206444216915,0.6569309124221793,0.3445378151260504,195.04902688135326,250.5478389854568,5.500935794865973,43.697368253176386
